83.8093%,75.9465%,83.5864%,82.1198%
84.2818%,76.0067%,83.9781%,83.3212%
84.3171%,75.9395%,83.8406%,83.3878%
84.4528%,76.0511%,83.9597%,83.7185%
84.3959%,76.0125%,84.1664%,84.0402%
84.7242%,75.8727%,84.1713%,84.0307%
84.8490%,76.1679%,84.5817%,84.4906%
84.9764%,76.3774%,84.8167%,84.9149%
