75.9465%,82.8369%,84.3100%,83.8093%,83.7641%
76.0067%,83.5490%,84.5953%,84.2818%,84.0342%
75.9395%,83.7418%,84.4975%,84.3171%,84.0720%
76.0511%,83.8553%,84.5932%,84.4528%,84.4816%
76.1885%,84.1091%,84.4762%,84.3959%,84.4839%
80.4601%,84.1666%,84.7149%,84.7242%,84.7336%
83.0144%,84.6546%,84.8065%,84.8490%,84.8855%
84.0305%,84.9211%,85.0193%,84.9764%,84.9702%
