N,n,m,variance,mean,AIC,BIC,AIC value,BIC value
100,7,3,0.0001,0,4,3,829.820977179264,825.1286022578544
100,7,3,0.001,0,4,3,421.75151117139376,417.68595943633903
100,7,3,0.01,0,4,3,-7.4586545660226,-11.483622995232022
100,7,3,0.1,0,4,3,-528.6480772948893,-532.5959474492143
100,7,3,1.0,0,3,3,-1126.8869157635302,-1130.7946710425124
100,7,3,10.0,0,3,3,-1839.8640722784226,-1843.7718275574048
100,7,3,100.0,0,3,2,-2578.266665407897,-2582.0217647640256
