N,n,m,variance,mean,AIC,BIC,AIC value,BIC value
100,7,3,0.1,-1.0,4,3,-509.00015617044306,-513.8266730247796
100,7,3,0.1,-0.8,3,3,-482.64813622900505,-486.5558915079872
100,7,3,0.1,-0.5,5,4,-511.1778349266108,-516.4106916506817
100,7,3,0.1,-0.2,4,3,-495.1264043695818,-499.56103952289055
100,7,3,0.1,0.0,4,3,-536.3430280173282,-541.2803731958817
100,7,3,0.1,0.2,3,3,-544.5588667483049,-548.466622027287
100,7,3,0.1,0.5,3,3,-562.7561997279718,-566.6639550069539
100,7,3,0.1,0.8,3,3,-577.5000827515096,-581.4078380304917
100,7,3,0.1,1.0,4,3,-597.2680728907875,-601.370179457956
