N,n,m,variance,mean,AIC,BIC,AIC value,BIC value
100,7,1,0.1,0,1,1,-294.6451971134513,-295.9477822064453
100,7,2,0.1,0,3,2,-469.3698617715615,-472.96775712811325
100,7,3,0.1,0,3,3,-488.76494259650565,-492.6726978754878
100,7,4,0.1,0,3,3,-652.362202195901,-656.2699574748831
100,7,5,0.1,0,4,4,-666.7966545495786,-672.0069949215548
100,7,6,0.1,0,4,4,-705.3417915295672,-710.5521319015434
100,7,7,0.1,0,5,4,-831.5872861268014,-836.8079884233292
100,7,8,0.1,0,4,4,-937.2494922320914,-942.4598326040675
100,7,9,0.1,0,5,5,-906.7409510261743,-913.2538764911445
