N,n,m,variance,mean,AIC,BIC,AIC value,BIC value
10,7,3,0.1,0,5,5,-35.7441,-36.5005
20,7,3,0.1,0,4,4,-89.381,-91.3725
50,7,3,0.1,0,4,3,-284.506,-288.032
80,7,3,0.1,0,4,4,-418.718,-423.482
100,7,3,0.1,0,4,3,-549.93,-554.327
200,7,3,0.1,0,4,3,-1153.28,-1158.41
300,7,3,0.1,0,3,3,-1646.78,-1652.34
500,7,3,0.1,0,4,3,-2923.21,-2931.03
